,Tg_inf,K
[*]CC([*])(C)C(=O)OC,119.3,346525.8191761441
[*]CC([*])(C)C(=O)OCC,66.93219009014747,99999.9968930949
[*]CC([*])(C)C(=O)OCCO,111.8,550296.2474534244
[*]CC([*])(C)C(=O)OCCC,66.4,283094.5890441618
[*]CC([*])(C)C(=O)OCCCC,68.1,545086.744503501
[*]CC([*])(C)C(=O)OCC(C)C,59.9,100000.00003695869
[*]CC([*])(C)C(=O)OC1CCCCC1,104.5,657356.4270562835
[*]CC([*])(C)C(=O)OCc1ccccc1,63.0,140338.5236400235
[*]CC([*])(C)C(=O)Oc1ccccc1,118.6,224656.60254542896
[*]CC([*])C(=O)OC(C)(C)C,124.5,351160.75677527254
[*]CC([*])C(=O)OC1CCCCC1,27.6,45880.45863202448
[*]CC([*])c1ccccc1,102.4,108907.02070841935
[*]CCOCCS([*])(=O)=O,21.7,17551.79483482356
[*]CC([*])(C)C(=O)OC1CC2CCC1(C)C2(C)C,184.2,288777.4368713732
[*]CC([*])c1ccc(Br)cc1,139.1,112146.84310649666
[*]CC([*])c1ccc(C)cc1,106.0,6886.966537138111
[*]CC([*])c1ccc(C(C)(C)C)cc1,138.5836891080162,71589.19730222489
[*]CC([*])c1ccc(Cl)cc1,121.5,45836.61127689655
[*]CC([*])C(=O)OC1CC2CCC1(C)C2(C)C,104.97395163772893,299138.5352779494
[*]CC(=O)OC([*])C,7.9,100000.00060271106
[*]CCCOC([*])=O,44.0,100000.00109170306
